timestamp,particulates,ozone,temperature,wind,aqi,county
"June 13, 2016 01:35:41 pm",5.3,0.041,67,N 7.5,037,tooele
"June 13, 2016 01:35:41 pm",6.9,0.052,71,SW 33.8,050,uintah
"June 13, 2016 01:35:41 pm",5.4,0.051,74,S 5.5,050,utah
"June 13, 2016 01:35:41 pm",5.3,0.049,80,W 6.1,050,washington
"June 13, 2016 01:35:41 pm",8.5,0.049,71,S 5.8,050,weber
"June 09, 2666 04:06:11 pm",,0.056,82,S 10,050,cache
"June 09, 2666 04:06:11 pm",,0.06,86,SE 4.6,075,carbon
"June 09, 2666 04:06:11 pm",1.6,0.058,93,NW 8.1,050,davis
"June 09, 2666 04:06:11 pm",7.2,0.059,90,E 5,050,duchesne
"June 09, 2666 04:06:11 pm",12,0.054,93,NW 8.1,050,salt lake
"June 09, 2666 04:06:11 pm",35.4,0.07,88,N 10.1,100,tooele
"June 09, 2666 04:06:12 pm",55.4,0.085,86,S 12.5,150,uintah
"June 09, 2666 04:06:12 pm",150.4,0.105,92,S 10.5,200,utah
"June 09, 2666 04:06:12 pm",250.4,0.200,94,SW 10.9,300,washington
"June 09, 2666 04:06:12 pm",300,0.5,87,W 5.3,500,weber
"June 15, 2016 12:17:44 pm",,0.034,69,SW 3.6,037,box elder
"June 15, 2016 12:17:44 pm",9.7,0.036,57,SW 5.4,037,cache
"June 15, 2016 12:17:44 pm",,0.047,67,SE 8.3,050,carbon
"June 15, 2016 12:17:44 pm",0.2,0.055,80,S 11.6,050,davis
"June 15, 2016 12:17:44 pm",6.3,0.038,71,SE 3.1,037,duchesne
"June 15, 2016 12:17:44 pm",0.2,0.055,80,S 11.6,050,salt lake
"June 15, 2016 12:17:44 pm",6.3,0.023,68,NW 4.5,025,tooele
"June 15, 2016 12:17:44 pm",3.8,0.045,66,SE 8.4,037,uintah
"June 15, 2016 12:17:44 pm",3.3,0.049,76,S 6.2,050,utah
"June 15, 2016 12:17:44 pm",,0.057,80,SE 10.4,050,washington
"June 15, 2016 12:17:44 pm",20.9,0.028,68,W 3.4,025,weber
"June 09, 2666 04:06:11 pm",,0.056,82,S 10,050,cache
"June 09, 2666 04:06:11 pm",,0.06,86,SE 4.6,075,carbon
"June 09, 2666 04:06:11 pm",1.6,0.058,93,NW 8.1,050,davis
"June 09, 2666 04:06:11 pm",7.2,0.059,90,E 5,050,duchesne
"June 09, 2666 04:06:11 pm",12,0.054,93,NW 8.1,050,salt lake
"June 09, 2666 04:06:11 pm",35.4,0.07,88,N 10.1,100,tooele
"June 09, 2666 04:06:12 pm",55.4,0.085,86,S 12.5,150,uintah
"June 09, 2666 04:06:12 pm",150.4,0.105,92,S 10.5,200,utah
"June 09, 2666 04:06:12 pm",250.4,0.200,94,SW 10.9,300,washington
"June 09, 2666 04:06:12 pm",300,0.5,87,W 5.3,500,weber
"June 15, 2016 12:24:39 pm",,0.034,69,SW 3.6,037,box elder
"June 15, 2016 12:24:39 pm",9.7,0.036,57,SW 5.4,037,cache
"June 15, 2016 12:24:39 pm",,0.047,67,SE 8.3,050,carbon
"June 15, 2016 12:24:39 pm",0.2,0.055,80,S 11.6,050,davis
"June 15, 2016 12:24:39 pm",6.3,0.038,71,SE 3.1,037,duchesne
"June 15, 2016 12:24:39 pm",0.2,0.055,80,S 11.6,050,salt lake
"June 15, 2016 12:24:39 pm",6.3,0.023,68,NW 4.5,025,tooele
"June 15, 2016 12:24:39 pm",3.8,0.045,66,SE 8.4,037,uintah
"June 15, 2016 12:24:39 pm",3.3,0.049,76,S 6.2,050,utah
